dimension,level,arm,outcome,n_treated,n_control,control_mean,treated_mean,effect,ci_low,ci_high,p_value,relative_lift,p_bh,significant_bh_5pct
history_band,$350 - $500,Womens,conversion,2188,2124,0.011299435028248588,0.009140767824497258,-0.0021586672037513296,-0.008167568878357167,0.0038502344708545074,0.48071090141112816,-0.19104204753199266,0.5158848698070644,False
history_band,$350 - $500,Womens,spend,2188,2124,1.0102683615819208,0.9093784277879342,-0.10088993379398659,-0.868206433055574,0.6664265654676008,0.7966475558048794,-0.0998644891106051,0.7966475558048794,False
history_band,$500 - $750,Mens,conversion,1597,1652,0.005447941888619854,0.013775829680651221,0.008327887792031367,0.0015988842206547471,0.015056891363407987,0.014640830369248459,1.5286300702706466,0.026841522343622175,True
history_band,$500 - $750,Mens,spend,1597,1652,0.5388559322033899,1.6418659987476518,1.103010066544262,0.1193162375129787,2.0867038955755453,0.028076723359398485,2.046947988554264,0.04456652437894807,True
history_band,$500 - $750,Womens,conversion,1662,1652,0.005447941888619854,0.015643802647412757,0.010195860758792903,0.0032538224242880543,0.01713789909329775,0.00409323102586634,1.8715068859473196,0.011256385321132434,True
history_band,$500 - $750,Womens,spend,1662,1652,0.5388559322033899,1.8245066185318892,1.2856506863284993,0.2862602874688539,2.2850410851881446,0.011759442489819737,2.3858894548519762,0.02299624309120304,True
history_band,"$750 - $1,000",Mens,conversion,644,622,0.00482315112540193,0.024844720496894408,0.02002156937149248,0.0068245710248996064,0.03321856771808535,0.0033987961928914068,4.151138716356107,0.010145981417899996,True
history_band,"$750 - $1,000",Mens,spend,644,622,0.3495337620578778,1.8836801242236023,1.5341463621657245,0.2858405955538392,2.78245212877761,0.01623111752566834,4.389122106927376,0.02914976208691457,True
history_band,"$750 - $1,000",Womens,conversion,593,622,0.00482315112540193,0.013490725126475547,0.008667574001073618,-0.0020961632871818875,0.019431311289329123,0.11084535117419425,1.7970770095559299,0.1489979661022858,False
history_band,"$750 - $1,000",Womens,spend,593,622,0.3495337620578778,0.9977908937605398,0.648257131702662,-0.3171605566591609,1.6136748200644848,0.18850270521198711,1.8546338067202786,0.22723613778979268,False
recency_band,1-3m,Mens,conversion,7469,7438,0.009007797795106211,0.01633418128263489,0.007326383487528679,0.0037383373200541256,0.010914429655003234,6.401420463264529e-05,0.8133379161229599,0.0004023750005480561,True
recency_band,1-3m,Mens,spend,7469,7438,0.9435506856681903,1.9911487481590573,1.047598062490867,0.4641609146870901,1.6310352102946437,0.0004343429092003721,1.110272164922432,0.001820103619506321,True
recency_band,1-3m,Womens,conversion,7486,7438,0.009007797795106211,0.011755276516163505,0.002747478721057293,-0.000503926239714111,0.005998883681828698,0.09785450446648447,0.3050111451824499,0.13668565703254973,False
recency_band,1-3m,Womens,spend,7486,7438,0.9435506856681903,1.3021506812717074,0.3585999956035171,-0.11542891829139862,0.8326289094984327,0.13817564695404258,0.3800537703489334,0.1737065275993678,False
recency_band,4-6m,Mens,conversion,4673,4766,0.005455308434746118,0.010485769313075112,0.005030460878328993,0.00143844933126731,0.008622472425390677,0.005919136877609921,0.9221221748506148,0.014454150391025641,True
recency_band,4-6m,Mens,spend,4673,4766,0.5191879983214435,1.0075754333404665,0.48838743501902304,0.008868935680732215,0.9679059343573139,0.04594253298756029,0.9406755098307358,0.06627775250664436,False
recency_band,4-6m,Womens,conversion,4753,4766,0.005455308434746118,0.007994950557542605,0.0025396421227964865,-0.0007441153724037481,0.0058233996179967214,0.1295112704960244,0.4655359368172329,0.1701043552783604,False
recency_band,4-6m,Womens,spend,4753,4766,0.5191879983214435,1.1846707342730907,0.6654827359516472,0.10984402618904199,1.2211214457142523,0.01892898000566873,1.2817760389361479,0.03283901340086847,True
recency_band,7-9m,Mens,conversion,4688,4699,0.003404979782932539,0.011305460750853242,0.007900480967920703,0.004446013958412426,0.01135494797742898,7.446447755299346e-06,2.3202725042662116,8.19109253082928e-05,True
recency_band,7-9m,Mens,spend,4688,4699,0.5759374334964886,1.1810238907849828,0.6050864572884942,0.06420239174744125,1.1459705228295471,0.028360515513876042,1.0506114416196968,0.04456652437894807,True
recency_band,7-9m,Womens,conversion,4627,4699,0.003404979782932539,0.006699805489518046,0.0032948257065855075,0.0004139920609501548,0.00617565935222086,0.0246631692817898,0.9676491247028312,0.040191831422175965,True
recency_band,7-9m,Womens,spend,4627,4699,0.5759374334964886,0.8754268424465096,0.29948940895002096,-0.248469080961506,0.8474478988615479,0.28409554250932995,0.5200033745537863,0.32051804795924405,False
recency_band,10-12m,Mens,conversion,4477,4403,0.0029525323642970703,0.009604645968282331,0.0066521136039852605,0.0033763818505181085,0.009927845357452413,7.52017412777306e-05,2.2530197075651617,0.0004411835488293529,True
recency_band,10-12m,Mens,spend,4477,4403,0.3882398364751306,1.1603216439580077,0.7720818074828771,0.20945973228009884,1.3347038826856554,0.007170287878431621,1.9886722972394777,0.015774633332549564,True
recency_band,10-12m,Womens,conversion,4521,4403,0.0029525323642970703,0.007078080070780801,0.004125547706483731,0.0012032209736131385,0.007047874439354324,0.005944338763743229,1.3972912732036822,0.014454150391025641,True
recency_band,10-12m,Womens,spend,4521,4403,0.3882398364751306,0.7982459632824596,0.41000612680732895,-0.021791301615309788,0.8418035552299676,0.06277165708612871,1.056064031269477,0.0890952552190214,False
buyer_type,Both,Mens,conversion,2181,2149,0.009306654257794323,0.024300779458963778,0.014994125201169455,0.007362421625964603,0.022625828776374306,0.00012723179857521139,1.6111187528656579,0.0006997748921636626,True
buyer_type,Both,Mens,spend,2181,2149,1.1801442531409958,3.005130674002751,1.824986420861755,0.49016108990282037,3.1598117518206896,0.007402846568264803,1.5464096156079978,0.015889036536763476,True
buyer_type,Both,Womens,conversion,2118,2149,0.009306654257794323,0.014636449480642116,0.005329795222847792,-0.0012000759595144862,0.011859666405210072,0.10919221343017615,0.5726864966949953,0.1489979661022858,False
buyer_type,Both,Womens,spend,2118,2149,1.1801442531409958,1.342025495750708,0.16188124260971226,-0.8133372445223764,1.1370997297418008,0.7449367530442481,0.13717072483203607,0.7534992444585499,False
buyer_type,Mens only,Mens,conversion,9558,9638,0.005499066196306288,0.011508683825068006,0.006009617628761718,0.003411164366648567,0.00860807089087487,5.7023444119952416e-06,1.0928432963397252,7.168661546508304e-05,True
buyer_type,Mens only,Mens,spend,9558,9638,0.6954264370201286,1.3781617493199416,0.682735312299813,0.24717206544842596,1.1182985591512,0.0021282218010223327,0.9817505863385112,0.0069364266107394545,True
buyer_type,Mens only,Womens,conversion,9622,9638,0.005499066196306288,0.006131781334441904,0.0006327151381356165,-0.0015150178419414593,0.0027804481182126923,0.5636558018878808,0.11505865096888815,0.5862703447055243,False
buyer_type,Mens only,Womens,spend,9622,9638,0.6954264370201286,0.9737809187279153,0.27835448170778665,-0.12356183001227383,0.6802707934278471,0.17466809037325362,0.40026445198218696,0.21649002750487772,False
buyer_type,Womens only,Mens,conversion,9568,9519,0.005147599537766572,0.010869565217391304,0.005721965679624732,0.0031954570509521623,0.008248474308297303,9.312603645339479e-06,1.1115794143744455,9.105656897665269e-05,True
buyer_type,Womens only,Mens,spend,9568,9519,0.4905641348881185,1.106294941471572,0.6157308065834535,0.2696778413087731,0.9617837718581339,0.0004891358520919593,1.2551484358388356,0.0018714763036561922,True
buyer_type,Womens only,Womens,conversion,9647,9519,0.005147599537766572,0.010262257696693273,0.005114658158926701,0.0026425788750146276,0.007586737442838774,5.244316578201236e-05,0.9936006329555769,0.00035499989144746825,True
buyer_type,Womens only,Womens,spend,9647,9519,0.4905641348881185,1.122212086659065,0.6316479517709466,0.29513352100515206,0.9681623825367411,0.0002349794331030802,1.287595049962233,0.0010945429393623817,True
newbie,0,Mens,conversion,10621,10611,0.007727829610781264,0.013934657753507202,0.006206828142725938,0.0034237029695350428,0.008989953315916833,1.2510598620840696e-05,0.8031787002739625,0.00011009326786339812,True
newbie,0,Mens,spend,10621,10611,0.9353501083780982,1.5133170134638925,0.5779669050857943,0.1415936895205155,1.0143401206510732,0.009440424495721855,0.6179150458302634,0.019319938502872634,True
newbie,0,Womens,conversion,10624,10611,0.007727829610781264,0.008659638554216868,0.0009318089434356032,-0.0014930869324005507,0.003356704819271757,0.4513810410852428,0.12057834998530714,0.49038927920372055,False
newbie,0,Womens,spend,10624,10611,0.9353501083780982,1.0493072289156626,0.11395712053756446,-0.27546832269092936,0.5033825637660583,0.5662838556814723,0.12183365299990898,0.5862703447055243,False
newbie,1,Mens,conversion,10686,10695,0.0037400654511453952,0.011136065880591428,0.007396000429446033,0.005094476401674598,0.009697524457217468,3.096636280730536e-10,1.9775056148231331,2.7250399270428716e-08,True
newbie,1,Mens,spend,10686,10695,0.37244787283777464,1.3324677147669848,0.9600198419292101,0.5937975956558584,1.3262420882025618,2.812421631419597e-07,2.5775951802720094,6.440643188998507e-06,True
newbie,1,Womens,conversion,10763,10695,0.0037400654511453952,0.009012357149493635,0.00527229169834824,0.0031448556848510754,0.007399727711845404,1.2454107165549289e-06,1.4096789928458604,2.1919228611366746e-05,True
newbie,1,Womens,spend,10763,10695,0.37244787283777464,1.1047356684939145,0.7322877956561398,0.40119922684156495,1.0633763644707146,1.4663264622056562e-05,1.9661484171641355,0.0001173061169764525,True
channel,Multichannel,Mens,conversion,2577,2606,0.006907137375287797,0.017074117190531625,0.010166979815243827,0.0042400342230320765,0.016093925407455578,0.0007618181165847115,1.4719527443625229,0.0026815997703781846,True
channel,Multichannel,Mens,spend,2577,2606,0.6157405986185724,1.824870003880481,1.2091294052619086,0.3910672094484511,2.027191601075366,0.003789585658933672,1.9636993369847904,0.010757533483424618,True
channel,Multichannel,Womens,conversion,2579,2606,0.006907137375287797,0.013958898797983715,0.0070517614226959175,0.001518849218086554,0.012584673627305282,0.012389697763934615,1.0209383481969756,0.023702030504918394,True
channel,Multichannel,Womens,spend,2579,2606,0.6157405986185724,1.7732764637456377,1.1575358651270653,0.258881916535595,2.0561898137185355,0.011625472703167505,1.8799083050947467,0.02299624309120304,True
channel,Phone,Mens,conversion,9240,9327,0.005360780529645117,0.010822510822510822,0.005461730292865705,0.002883599337234507,0.008039861248496904,3.2281887528462505e-05,1.0188311688311686,0.0002367338418753917,True
channel,Phone,Mens,spend,9240,9327,0.6444526643079231,1.2085270562770565,0.5640743919691333,0.16116069666442,0.9669880872738467,0.006077313232590326,0.8752766854876642,0.014454150391025641,True
channel,Phone,Womens,conversion,9454,9327,0.005360780529645117,0.00708694732388407,0.0017261667942389536,-0.0005222372795984508,0.0039745708680763575,0.13277958911139298,0.3219991537973344,0.17183240943827327,False
channel,Phone,Womens,spend,9454,9327,0.6444526643079231,0.8769261688174319,0.23247350450950877,-0.11919996339750849,0.584146972416526,0.19511804469875108,0.3607301472780189,0.23203226937148774,False
channel,Web,Mens,conversion,9490,9373,0.005761229062199936,0.012961011591148578,0.007199782528948642,0.004456411129284019,0.009943153928613266,2.9275650859084124e-07,1.249695585996956,6.440643188998507e-06,True
channel,Web,Mens,spend,9490,9373,0.6713858956577403,1.5218345626975762,0.8504486670398359,0.39719041659269894,1.3037069174869729,0.00023632177099869602,1.2667061857274677,0.0010945429393623817,True
channel,Web,Womens,conversion,9354,9373,0.005761229062199936,0.009193927731451786,0.0034326986692518498,0.0009651890791807804,0.00590020825932292,0.006396903809730903,0.595827493090696,0.014526638365826102,True
channel,Web,Womens,spend,9354,9373,0.6713858956577403,1.087702587128501,0.4163166914707608,0.024561175543128366,0.8080722073983932,0.037279752498983895,0.620085548658876,0.05560369864255225,False
zip_code,Rural,Mens,conversion,3243,3139,0.00828289264096846,0.013567684242984891,0.00528479160201643,0.0001950068941528743,0.010374576309879986,0.04271535206467503,0.6380369553357529,0.06264918302819004,False
zip_code,Rural,Mens,spend,3243,3139,0.7671360305829882,1.5226364477335799,0.7555004171505917,0.05093491863636346,1.46006591566482,0.0356307473725496,0.9848323987291355,0.0540604442893856,False
zip_code,Rural,Womens,conversion,3181,3139,0.00828289264096846,0.011631562401760453,0.003348669760791992,-0.0015437437326925449,0.00824108325427653,0.18029530100656066,0.40428747612023325,0.22036092345246303,False
zip_code,Rural,Womens,spend,3181,3139,0.7671360305829882,1.2819773656082991,0.5148413350253109,-0.1195423200158301,1.149224990066452,0.11174847457671436,0.6711213063921078,0.1489979661022858,False
zip_code,Suburban,Mens,conversion,9501,9625,0.004987012987012987,0.012419745289969477,0.00743273230295649,0.004798409346375375,0.010067055259537605,3.0109490012364404e-08,1.4904176753324212,1.3248175605440338e-06,True
zip_code,Suburban,Mens,spend,9501,9625,0.669442077922078,1.4732901799810545,0.8038481020589765,0.35415639287442036,1.2535398112435328,0.00046032414511103963,1.200773193932012,0.0018412965804441585,True
zip_code,Suburban,Womens,conversion,9650,9625,0.004987012987012987,0.0075647668393782385,0.0025777538523652516,0.00034861827594335993,0.004806889428787143,0.023476843873355913,0.5168933506044906,0.03898042001613812,True
zip_code,Suburban,Womens,spend,9650,9625,0.669442077922078,0.8466134715025907,0.1771713935805127,-0.1935869428040064,0.5479297299650319,0.3489799425355112,0.2646552994255243,0.3838779367890623,False
zip_code,Urban,Mens,conversion,8563,8542,0.005619292905642706,0.012262057690061895,0.006642764784419188,0.0038238427921358916,0.009461686776702484,3.956111962910569e-06,1.1821353497605982,5.8022975456021676e-05,True
zip_code,Urban,Mens,spend,8563,8542,0.5920053851557012,1.328512203666939,0.7365068185112378,0.31099028325878864,1.1620233537636868,0.0006946326294116112,1.244088038688249,0.002546986307842574,True
zip_code,Urban,Womens,conversion,8556,8542,0.005619292905642706,0.009233286582515194,0.003613993676872488,0.0010410295611938416,0.006186957792551134,0.005926552614843095,0.6431402914134332,0.014454150391025641,True
zip_code,Urban,Womens,spend,8556,8542,0.5920053851557012,1.2611407199625992,0.669135334806898,0.24826399283456252,1.0900066767792336,0.0018360443199288627,1.1302858919617955,0.0062143038520669205,True
